UUID;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;URI;VOCAB_LABEL;LAT;LNG;PLACE_TYPE;VERIFICATION_STATUS;TAGS;COMMENTS
b10c52b3-6842-4c4c-805c-5e907c54454f;﻿Ἀγαθημέρου;char-offset:0;PERSON;;;;;;;author;
69fa5390-8a76-4266-916b-4ec2496ade2e;Ἀναξίμανδρος;char-offset:47;PERSON;;;;;;;;
5ec73bd5-ab01-4cd4-960c-9e5437e79f65;Μιλήσιος;char-offset:62;PLACE;http://pleiades.stoa.org/places/550742;Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay;39.528399;26.974176;settlement;VERIFIED;;#documentation: when possible, i am choosing only one place reference and ignoring unlocated references.
783252ea-d659-4d64-9ca2-797fbbf9dca4;Θάλεω;char-offset:80;PERSON;;;;;;;;
a4feb9bd-e741-4cef-89db-8708ce8814b2;οἰκουμένην;char-offset:108;PLACE;;;;;;UNVERIFIED;concept;
f742a2fc-1cde-477c-848e-2c8f280b1fc5;Ἑκαταῖος;char-offset:145;PERSON;;;;;;;;
94fa613a-727a-4a54-b11f-5fdff31e53cb;Μιλήσιος;char-offset:156;PLACE;http://pleiades.stoa.org/places/550742;Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay;39.528399;26.974176;settlement;VERIFIED;;
4bf2690a-c247-40f0-971b-4da37b433712;Ἑλλάνικος;char-offset:221;PERSON;;;;;;;;
9ab9a185-c4f5-45ae-b5d0-aec3f0d0a247;Λέσβιος;char-offset:237;PLACE;http://pleiades.stoa.org/places/550696;Lesbos (island)|Lesbos Ins., Lesbos;39.20874;26.10052;island;VERIFIED;;
d29cfd3f-956d-4e47-99f2-66f3cf037686;Δαμάστης;char-offset:297;PERSON;;;;;;;;
0e8b60c1-7d0d-43fe-a7c6-25eee2511969;Κιτιεὺς;char-offset:308;PLACE;http://pleiades.stoa.org/places/123082;Citium;;;unlocated;VERIFIED;;
acfe3823-ff3b-4cbe-bd4d-a92c2e80312d;Ἑκαταίου;char-offset:334;PERSON;;;;;;;;
679527c7-ff5a-497b-9d4d-c1d788607ed1;Δημόκριτος;char-offset:378;PERSON;;;;;;;;
6c50760d-c649-45fb-b890-3e71109099b7;Εὔδοξος;char-offset:393;PERSON;;;;;;;;
c90fd72c-d935-4c89-ad9f-ce512ddb105f;οἰκουμένην;char-offset:487;PLACE;;;;;;UNVERIFIED;concept;#documentation: concept indicates a geographical entity with no specific location
9d3a23a8-e7bf-497a-83ee-3f80092f6f6c;Ἑλλάδα;char-offset:540;PLACE;http://pleiades.stoa.org/places/1001896;Hellas;37.5;22.5;province;VERIFIED;region;#documentation: region marks any spatial extent on land.
93ea4f83-2b1b-46e8-90a7-cc62d81db3f1;Δελφούς;char-offset:558;PLACE;http://pleiades.stoa.org/places/540726;Delphi|Delphi, Delphi;38.482289;22.501169;sanctuary,settlement;VERIFIED;settlement;#documentation: we need to decide what to do with multiple gazetteer references. for the sake of consistency, I am preferring Pleiades over other gazetteers, but multiple choices tend to affect the annotation export format.
e2c2ac3c-eac1-4abd-9d93-3982c623630c;Δημόκριτος;char-offset:608;PERSON;;;;;;;;
c83744fd-0fda-4205-96f9-24fbe59d6d08;Δικαίαρχος ὁ περιπατητικός;char-offset:725;PERSON;;;;;;;;#documentation: i am tagging as education references to the philosophical, religious school of individuals expressed in the form of adjectives.
e0fa3c05-8e12-4189-aaee-39f49e1addd2;Δικαίαρχος;char-offset:725;PERSON;;;;;;;;
8200e58a-4a7d-4dc9-a1df-4c91c7498726;Εὔδοξος;char-offset:753;PERSON;;;;;;;;
ac31d51a-a03c-4807-bd57-a4133f751393;Ἐρατοσθένης;char-offset:799;PERSON;;;;;;;;
4f7de26a-2365-4274-943f-1d3579b20118;Κράτης;char-offset:830;PERSON;;;;;;;;
6e02cd23-0680-4301-a5d1-f1d0b86b4afe;Ἵππαρχος;char-offset:855;PERSON;;;;;;;;
e776f8a8-aca8-4f14-964f-670be55fd52f;Ποσειδώνιος;char-offset:899;PERSON;;;;;;;;
a9344e0d-041f-4495-982a-c7d44f67c18a;Ποσειδώνιος δ’ ὁ Στωϊκὸς;char-offset:899;PERSON;;;;;;;;
f0167a73-bc80-4c6a-868d-203f6c159263;Ἰνδικήν;char-offset:1046;PLACE;http://pleiades.stoa.org/places/50004;India;22.5;77.5;region;VERIFIED;region;
c369adad-c008-4cb8-9387-1341c139a1b8;Ὅροι;char-offset:1057;PLACE;;;;;;UNVERIFIED;concept;
5c2b8c42-8d0a-4e9a-8dc5-0c6dcff5b2a7;ἠπείρων;char-offset:1062;PLACE;;;;;;UNVERIFIED;concept|continent;
81f335e8-5831-4f57-9373-5e3f0f2d3c1f;Εὐρώπης;char-offset:1071;PLACE;http://pleiades.stoa.org/places/536074;Europe;;;unlocated;VERIFIED;concept|continent;#documentation: despite the fact that Europe, Asia and Libya are more geographical concepts than entities, I am georeferencing them with preference to locations that are identified as polygons, just to give a sense of spatial extension. this coud then be redesigned in modelling processes by identifying the boundaries as they appear in the sources.
84fb5a8d-689f-4de5-96b2-ca270578f48f;Λιβύης;char-offset:1087;PLACE;http://pleiades.stoa.org/places/716588;Libya;31.5;26.5;region;VERIFIED;concept|continent;
0db618dc-233a-44d7-9f97-aefb50012827;Ἡρακλέους στῆλαι;char-offset:1097;PLACE;http://pleiades.stoa.org/places/275614;Columnae Herculis;35.9358335;-5.384583;cape;VERIFIED;;
7ed84aa7-37d4-4043-93ae-c30a5d522827;Ἡρακλέους;char-offset:1097;PERSON;;;;;;;;
6a37988a-f95d-476b-9425-ce9e57d0b7ae;Λιβύης;char-offset:1115;PLACE;http://pleiades.stoa.org/places/716588;Libya;31.5;26.5;region;VERIFIED;concept|continent;
38ecc735-0483-4000-8102-0d945e245b86;Ἀσίας;char-offset:1129;PLACE;http://pleiades.stoa.org/places/981509;Asia;37.5;27.5;province;VERIFIED;concept|continent;
c84d453b-e94b-40db-b784-95049d39d9de;Νεῖλος;char-offset:1137;PLACE;http://pleiades.stoa.org/places/727172;Nilus (river);19.211408766666665;30.567329633333333;river;VERIFIED;natural feature|water mass|river;
8337c20b-55e9-48eb-bf26-47fca89227a3;ἰσθμὸν τὸν ἀπὸ Σερβωνίδος λίμνης;char-offset:1151;PLACE;;;;;;UNVERIFIED;natural feature|isthmus;identification by relative location.
07ea33cf-6098-403f-9618-692167aee664;Σερβωνίδος;char-offset:1166;PLACE;http://pleiades.stoa.org/places/688025;Serbonitis L.;31.25;33.25;lake;VERIFIED;natural feature|water mass|lake;#documentation: when in presence of a placename + category, i am georeferencing the placename only, unless it is a case when the category is necessary for the identification of the name as a place.|#documentation: when assigning categories to placenames explicitly referenced in a way, I am using that category despite of modern classifications.
42d95d73-1bff-476d-bed2-c5d8127686a3;Σερβωνίδος λίμνης;char-offset:1166;;;;;;;;;testing...
7f9524ba-1fd8-430b-bb7b-d6f9a14b4af8;Ἀραβίου
κόλπου;char-offset:1188;PLACE;http://pleiades.stoa.org/places/39290;Arabicus Sinus/Erythr(ae)um/Rubrum Mare;19.0;39.5;water-open;VERIFIED;natural feature|water mass|gulf;
9a1bb341-1331-4695-94f2-650ed919faf7;Ἀσίας;char-offset:1204;PLACE;http://pleiades.stoa.org/places/981509;Asia;37.5;27.5;province;VERIFIED;concept|continent;
b2052cd0-bbad-4881-8c1e-b85423f7835a;Εὐρώπης;char-offset:1217;PLACE;http://pleiades.stoa.org/places/536074;Europe;;;unlocated;VERIFIED;concept|continent;
846fb223-c38e-41ce-abe1-b986844a677f;Φᾶσιν ποταμὸν;char-offset:1240;;;;;;;;;testing again...
3d2dfad5-0d66-448f-a6f9-1ac53c9938d4;Φᾶσιν;char-offset:1240;PLACE;http://pleiades.stoa.org/places/874645;Phasis fl.;39.5;41.5;river;VERIFIED;natural feature|water mass|river;
091a4459-6922-40f5-a28e-d41244af3bc7;τὸν
ἕως Κασπίας ἰσθμόν;char-offset:1258;PLACE;;;;;;UNVERIFIED;natural feature|isthmus;
f39ce831-1c0e-47f9-80da-8d643c4c1e35;Κασπίας;char-offset:1266;PLACE;http://pleiades.stoa.org/places/884130;Caspium/Hyrcanium Mare;42.6759567125;49.98680535;lake,water-open;VERIFIED;natural feature|water mass|sea;
0a71971c-cb7f-4665-8fec-d7ef1437f4f2;Μαιῶτιν;char-offset:1305;PLACE;http://pleiades.stoa.org/places/825318;Maeotis;45.814417000000006;35.862586;water-open;VERIFIED;natural feature|water mass|lake;
729353ab-30d8-43d1-8616-b08ddc5f2a02;Μαιῶτιν λίμνην;char-offset:1305;PLACE;;;;;;UNVERIFIED;;
a42cf41b-48c3-4bde-8a14-7d90ae57f87c;Τάναϊν;char-offset:1324;PLACE;http://pleiades.stoa.org/places/59844;Iaxartes/Silis/Tanais fl.;45.7077742;63.5889496;river;VERIFIED;natural feature|water mass|river;
ea1cded9-e22c-4917-bb67-c9aba4209e75;Τάναϊν ποταμόν;char-offset:1324;PLACE;;;;;;UNVERIFIED;;
af70f374-5fa9-4a4c-a0e7-35c48f937df3;ἤπειροι;char-offset:1355;PLACE;;;;;;UNVERIFIED;concept|continent;Category referred to the following toponyms
5057d585-2910-4cd2-be6f-a7bafb64bee9;Ἀσία;char-offset:1396;PLACE;http://pleiades.stoa.org/places/981509;Asia;37.5;27.5;province;VERIFIED;concept|continent;
d5c194d0-8321-4038-b99e-35580101e160;Εὐρώπης;char-offset:1433;PLACE;http://pleiades.stoa.org/places/536074;Europe;;;unlocated;VERIFIED;concept|continent;
873697bd-d61e-4175-97e1-b086e5ae4af4;Εὔβοια;char-offset:1489;PLACE;http://pleiades.stoa.org/places/540775;Euboea (island)|Euboea Ins., Euboia;38.53;23.87;island;VERIFIED;natural feature|island;
b6822c01-47dd-4711-bf3a-e90b2f7e19e8;Ἄνδρος;char-offset:1496;PLACE;http://pleiades.stoa.org/places/589693;Andros (island)|Andros Ins., Andros;37.8528;24.86222;island;VERIFIED;natural feature|island;
033f4ef8-16d4-4f19-86cd-90b74d6dbe65;Τῆνος;char-offset:1503;PLACE;http://pleiades.stoa.org/places/590074;Tenos (island)|Exomvourgo|Tenos Ins., Tinos;37.577564;25.167742;island;VERIFIED;natural feature|island;
2c5a83b5-0716-44e2-a829-08f4a955b7f9;Μύκονος;char-offset:1509;PLACE;http://pleiades.stoa.org/places/599808;Mykonos (island)|Mykonos Ins., Mykonos;37.43281;25.36058;island;VERIFIED;natural feature|island;
fe1a12a8-8cd0-4879-ba47-b7896187f95f;Ἰκαρία;char-offset:1517;PLACE;http://pleiades.stoa.org/places/599667;Ikaros (island);37.6305806;26.0732143;island;VERIFIED;natural feature|island;
648df89b-76fd-4c29-990f-2d3abdea9276;Σάμος;char-offset:1524;PLACE;http://pleiades.stoa.org/places/599926;Samos (island)|Samos Ins., Samos;37.73;26.84;island;VERIFIED;natural feature|island;
72d157b7-f033-4bbe-bcea-fd3f0cc202cb;Μυκάλη;char-offset:1530;PLACE;http://pleiades.stoa.org/places/599805;Mycale M.|Mycale Mons, Samsun Dağ;37.66144;27.12558;mountain;VERIFIED;natural feature|island;
cb7f9c96-858d-4619-960d-a2662699e907;Εὐρώπη;char-offset:1543;PLACE;http://pleiades.stoa.org/places/536074;Europe;;;unlocated;VERIFIED;concept|continent;
ab8507fe-de32-46ce-916a-ff468093dc72;Λιβύη;char-offset:1575;PLACE;http://pleiades.stoa.org/places/716588;Libya;31.5;26.5;region;VERIFIED;concept|continent;
4abbfbf3-0887-4647-b9fc-7f392703856e;Ἑλλήνων;char-offset:1588;PERSON;;;;;;;;
1742aa4c-c88e-4904-bf23-eb9ece61296c;Φοίνικες;char-offset:1637;PLACE;;;;;;NOT_IDENTIFIABLE;;
efcf472e-d4b2-4b84-b770-be266c76e275;ὠκεανὸς;char-offset:1668;PLACE;;;;;;UNVERIFIED;concept|water mass|ocean;
70a1670b-440a-4408-84c8-239628f85745;Δικαίαρχος;char-offset:1716;PERSON;;;;;;;;
3d63d292-8763-46bf-8598-ae7022f88cd7;Στηλῶν;char-offset:1785;PLACE;http://pleiades.stoa.org/places/275614;Columnae Herculis;35.9358335;-5.384583;cape;VERIFIED;;
c1731534-9479-4991-a06d-d160f3a31a1a;Σαρδοῦς;char-offset:1796;PLACE;http://pleiades.stoa.org/places/981548;Sardinia et Corsica;37.5;7.5;province;VERIFIED;natural feature|island;
48807024-cdb1-471c-8d8d-f6468fef8ffe;Σικελίας;char-offset:1804;PLACE;http://pleiades.stoa.org/places/981549;Sicilia (Roman province);37.751645425;14.6747958;province;VERIFIED;natural feature|island;
64593148-a497-4199-8e5e-fb275910f20a;Πελοποννήσου;char-offset:1813;PLACE;http://pleiades.stoa.org/places/570577;Peloponnesus/Peloponnesos/Peloponnese;37.25289777692308;22.312752688461543;peninsula,region;VERIFIED;natural feature;
8fdb4cde-2073-4b3e-b725-8c4424052d73;Ἰωνίας;char-offset:1826;PLACE;http://pleiades.stoa.org/places/550597;Ionia (region);38.258572855555556;27.36601213333333;region;VERIFIED;region;
82792781-c71f-46c3-879f-0387a6e30c4e;Καρίας;char-offset:1833;PLACE;http://pleiades.stoa.org/places/1001916;Karia;37.5;27.5;province;VERIFIED;region;
3919d5dd-471f-4be4-9ae3-51128b4859a3;Λυκίας;char-offset:1840;PLACE;http://pleiades.stoa.org/places/638965;Lycia;36.513688333333334;29.129618500000003;region;VERIFIED;region;
e445913b-2990-40af-b298-fedd51043eba;Παμφυλίας;char-offset:1847;PLACE;http://pleiades.stoa.org/places/639034;Pamphylia;36.990721;30.98638;region;VERIFIED;region;
95b4f238-543e-4ff7-beb1-01b20eea9c76;Κιλικίας;char-offset:1857;PLACE;http://pleiades.stoa.org/places/658440;Cilicia;36.25;33.25;region;VERIFIED;region;
72f00040-28e6-4414-b894-a5b805a8ddb3;Ταύρου;char-offset:1870;PLACE;http://pleiades.stoa.org/places/648792;Taurus M.|Taurus Mons, Demirkazık Dağı, Toros Dağları;37.83546;35.14519;settlement,mountain;VERIFIED;natural feature|mountain;
96e1f446-85f7-4d52-9221-467cdd369b24;Ἰμάου;char-offset:1886;PLACE;http://pleiades.stoa.org/places/59834;Hemodos/Imaus/Caucasus M.;32.5;77.5;mountain;VERIFIED;natural feature|mountain;
a3b949f6-3d2f-4460-a393-e69f77a54ed3;Ἰμάου ὄρους;char-offset:1886;PLACE;;;;;;UNVERIFIED;;
bea9baec-9932-49d8-8922-5cb08baa3b91;Τιμοσθένης;char-offset:2414;PERSON;;;;;;;;
183095ef-c66c-4b49-9c77-517a70fdb559;ἔθνη;char-offset:2699;PLACE;;;;;;UNVERIFIED;concept|ethnos;Place category referred to the following ethnics.
fe545ca5-0e8d-4c5b-bb05-3203d4da94d4;Βακτριανούς;char-offset:2739;PLACE;http://pleiades.stoa.org/places/971705;Bactria;37.5;67.5;region;VERIFIED;ethnos;
ec65ac57-885a-4692-bde2-c3541d066bce;Ἰνδούς;char-offset:2763;PLACE;http://pleiades.stoa.org/places/59849;Indoi;27.5;67.5;people;VERIFIED;ethnos;
d7ff74bd-ef7f-4899-94e4-997e144bec17;Ἐρυθρὰν;char-offset:2784;PLACE;http://pleiades.stoa.org/places/39290;Arabicus Sinus/Erythr(ae)um/Rubrum Mare;19.0;39.5;water-open;VERIFIED;natural feature|water mass|sea;
09395a99-8ea6-4eee-8c31-9ea6f113c34a;Ἐρυθρὰν θάλασσαν;char-offset:2784;PLACE;;;;;;UNVERIFIED;;
780ceb41-5ffe-4e92-8ef4-73ac465aab60;Αἰθιοπίαν;char-offset:2805;PLACE;http://pleiades.stoa.org/places/39274;Aethiopia;14.125005;38.721522;unknown;VERIFIED;region;
23fa857b-52a7-4d21-8b55-162d1195a2c6;τὴν ὑπὲρ Αἴγυπτον
Αἰθιοπίαν;char-offset:2827;PLACE;http://pleiades.stoa.org/places/39274;Aethiopia;14.125005;38.721522;unknown;VERIFIED;region;
e4a2f73c-1e22-432f-96c6-4dba39a6b48b;Αἴγυπτον;char-offset:2836;PLACE;http://pleiades.stoa.org/places/981503;Aegyptus;27.5;27.5;province;VERIFIED;region;
27d27745-016b-426d-b32c-e6042f0a16d7;Αἰθιοπίαν;char-offset:2845;PLACE;;;;;;UNVERIFIED;;
e8824424-8b07-4443-a49f-0f8bc6816cbc;τοὺς ὑπὲρ Σύρτεις Γαράμαντας;char-offset:2872;PLACE;http://pleiades.stoa.org/places/354116;Garamantes;27.5;13.5;people;VERIFIED;ethnos;
95097f5d-cdf6-4a3c-bb41-152f6ac79732;Σύρτεις;char-offset:2882;PLACE;http://pleiades.stoa.org/places/344492;Syrtis Minor;34.0;10.416667;water-open;VERIFIED;natural feature|island;
2b18f9c9-d90e-4881-8e42-773e645cb6aa;Αἰθίοπας δυσμικοὺς ὑπὲρ Μαύρου;char-offset:2912;PLACE;http://pleiades.stoa.org/places/334481;Aethiopia;32.5;3.5;region;VERIFIED;ethnos;
cd95a557-ebfd-4502-9185-8f293b1fc590;Μαύρους;char-offset:2936;PLACE;http://pleiades.stoa.org/places/981533;Mauretania Tingitana (Roman province);33.952871200000004;-3.5569907;province;VERIFIED;ethnos;
0229dde0-acf2-460b-a654-5c9c08afeba4;Στήλας;char-offset:2958;PLACE;http://pleiades.stoa.org/places/275614;Columnae Herculis;35.9358335;-5.384583;cape;VERIFIED;;
4d1fba96-a94b-41a8-95cd-95e13c448bbd;ἀρχὰς Λιβύης;char-offset:2969;PLACE;;;;;;UNVERIFIED;;position.
5d19ecc2-278c-42f2-a3f0-c0dc268d10a8;Λιβύης;char-offset:2975;PLACE;http://pleiades.stoa.org/places/716588;Libya;31.5;26.5;region;VERIFIED;concept|continent;
67247534-46f8-49cc-b636-21f5b98252ce;Εὐρώπης;char-offset:2986;PLACE;http://pleiades.stoa.org/places/536074;Europe;;;unlocated;VERIFIED;concept|continent;
0c57f07b-8a86-40df-9cb3-a39e6d109907;Ἰβηρίαν τὴν νῦν
Ἱσπανίαν;char-offset:3009;PLACE;;;;;;UNVERIFIED;;
7d5bc2e9-00a2-4f87-9c1a-124a2cf59dc1;Ἰβηρίαν;char-offset:3009;PLACE;http://pleiades.stoa.org/places/1027;Hispania;42.5;-7.5;province;VERIFIED;region;
ff9ebbf2-0457-49d7-a496-3a93e3fbec88;Ἱσπανίαν;char-offset:3025;PLACE;http://pleiades.stoa.org/places/1027;Hispania;42.5;-7.5;province;VERIFIED;region;
7aa96ee2-f9c9-4705-b1df-1af30a9ac22f;Κελτοὺς;char-offset:3049;PLACE;http://pleiades.stoa.org/places/993;Gallia;44.730982100000006;3.5988981583333333;region;VERIFIED;ethnos;
d3ab9418-3f58-49d0-bfa4-a8cab9eafd01;τὰ ὅμορα;char-offset:3061;PLACE;;;;;;UNVERIFIED;;
128dde01-d062-4662-93e6-83753ec51d64;τοὺς ὑπὲρ Θράκην Σκύθας;char-offset:3086;PLACE;http://pleiades.stoa.org/places/1273;Scythia;47.5;27.5;region;VERIFIED;ethnos;
ace19ea1-c59d-4e78-834f-fc99b4eec7f1;Θράκην;char-offset:3096;PLACE;http://pleiades.stoa.org/places/992078;Thracia;42.5;22.5;province;VERIFIED;region;
6ae510ab-a637-4bf9-88ec-ead37b60f199;Πόντον;char-offset:3123;PLACE;http://pleiades.stoa.org/places/1224;Pontus Euxinus;43.0786852;34.7425505;water-open;VERIFIED;natural feature|water mass;#documentation: pontus euxinus here is not explicitly indicated as sea.
77163c2a-498c-49f3-8dc5-22e4b244fd60;Μαιῶτιν;char-offset:3130;PLACE;http://pleiades.stoa.org/places/825318;Maeotis;45.814417000000006;35.862586;water-open;VERIFIED;natural feature|water mass|lake;
5889f594-cd16-4a95-86ed-58592bfcf0d5;Σαρμάτας;char-offset:3138;PLACE;http://pleiades.stoa.org/places/825371;Sarmatia;45.5;39.5;unknown;VERIFIED;ethnos;
3bb789c5-1729-4c02-8a51-b667eb209211;Κασπίαν θάλασσαν;char-offset:3161;PLACE;;;;;;UNVERIFIED;;
e6709367-675d-4881-aae3-6995577e6f54;Κασπίαν;char-offset:3161;PLACE;http://pleiades.stoa.org/places/884130;Caspium/Hyrcanium Mare;42.6759567125;49.98680535;lake,water-open;VERIFIED;natural feature|water mass|sea;
f201013f-cf2a-46c3-9e32-7806784b3408;Σάκας;char-offset:3182;PLACE;http://pleiades.stoa.org/places/60021;Sacae;37.5;72.5;people;VERIFIED;ethnos;
3a04631b-549a-434a-b925-90aa62bcd1a2;ἡ μεγάλη Σύρτις;char-offset:3200;PLACE;http://pleiades.stoa.org/places/344491;Syrtis Maior;31.5;18.0;water-open;VERIFIED;natural feature|island;
1a738389-c48f-4231-8e01-50cab2212eb4;ἡ δὲ μικρὰ;char-offset:3228;PLACE;http://pleiades.stoa.org/places/344492;Syrtis Minor;34.0;10.416667;water-open;VERIFIED;natural feature|island;
adbc1be4-c1fe-4166-89ff-c24399c82f3e;στόμα τοῦ Ἀδρίου;char-offset:3258;PLACE;;;;;;UNVERIFIED;;
69ed90a3-0e85-4c1f-8817-271f5c1f93b2;Ἀδρίου;char-offset:3268;PLACE;http://pleiades.stoa.org/places/1004;(H)Adriaticum/Superum Mare;42.7752864;15.885196;water-open;VERIFIED;natural feature|water mass|sea;
14415346-c15d-4bfd-b005-21fa495dbf65;Ἰόνιον;char-offset:3291;PLACE;http://pleiades.stoa.org/places/1004;(H)Adriaticum/Superum Mare;42.7752864;15.885196;water-open;VERIFIED;natural feature|water mass|sea;#documentation: pelagos refers to the category of sea
70a37fad-4baf-4d1e-b5ef-e5bef9431cac;Ἰόνιον πέλαγος;char-offset:3291;PLACE;;;;;;UNVERIFIED;;
4a9072cc-8a97-463a-9949-1480e06a1d8e;ἄκρας Ἰαπυγίας;char-offset:3334;PLACE;http://pleiades.stoa.org/places/442763;Sallentinum/Iapygia|Sallentinum Pr./Iapygia Pr., Capo Santa Maria di Leuca;39.796261;18.368275;cape;VERIFIED;natural feature|promontory;
