Direct tradition: Manuscript signature,Manuscript Siglum (Diller),Transcription URN,Manuscript CITE URN,Edition URN (Perseus Catalog),Filename,Link to the Manuscript Catalog
Palatinus Heidelbergensis Graecus 398,A,,urn:cite:agathemerus:tlg0090.tlg001.msA,,,http://139.18.40.155/items/show/151 
Vatopedinus Graecus 655,B,urn:cts:greekLit:tlg0090.tlg001.msB,urn:cite:agathemerus:tlg0090.tlg001.msB,,vatopedi_gr.xml,http://139.18.40.155/items/show/148 
Londiniensis Add. MS 19391,B (part-of),,,urn:cts:greekLit:tlg0090.tlg001.opp-grc2,vatopedi_gr.xml,http://139.18.40.155/items/show/149 
Parisinus Suppl. Gr. 443 A,B (part-of),,,urn:cts:greekLit:tlg0090.tlg001.opp-grc5,vatopedi_gr.xml,http://139.18.40.155/items/show/150
Cantabrigensis Graecus Gg. II 33,C,urn:cts:greekLit:tlg.0090.tlg001.msC,urn:cite:agathemerus:tlg0090.tlg001.msC,,cantabrigensis_gr.xml,http://139.18.40.155/items/show/152
Parisinus Graecus 1406,c8,urn:cts:greekLit:tlg.0090.tlg001.msc8,urn:cite:agathemerus:tlg0090.tlg001.msc8,,parisinus1406_gr.xml,http://139.18.40.155/items/show/154
Parisinus Graecus 1405,c3,urn:cts:greekLit:tlg.0090.tlg001.msc3,urn:cite:agathemerus:tlg0090.tlg001.msc3,,parisinus1405_gr.xml,http://139.18.40.155/items/show/153
"Parisinus Graecus 2554, ff. 109r-130v",c1,urn:cts:greekLit:tlg.0090.tlg001.msc1,urn:cite:agathemerus:tlg0090.tlg001.msc1,,parisinus2554A_gr.xml,http://139.18.40.155/items/show/155
"Parisinus Graecus 2554, ff. 135r-140v ",c2,urn:cts:greekLit:tlg.0090.tlg001.msc2,urn:cite:agathemerus:tlg0090.tlg001.msc2,,parisinus2554B_gr.xml,http://139.18.40.155/items/show/156
Parisinus Graecus 2857,c12,urn:cts:greekLit:tlg.0090.tlg001.msc12,urn:cite:agathemerus:tlg0090.tlg001.msc12,,parisinus2857_gr.xml,http://139.18.40.155/items/show/163
Vaticanus Palatinus Graecus 62,c9,urn:cts:greekLit:tlg.0090.tlg001.msc9,urn:cite:agathemerus:tlg0090.tlg001.msc9,,palatinus62_gr.xml,http://139.18.40.155/items/show/161
Vaticanus Graecus 1415,c5,urn:cts:greekLit:tlg.0090.tlg001.msc5,urn:cite:agathemerus:tlg0090.tlg001.msc5,,vaticanus1415_gr.xml,http://139.18.40.155/items/show/170
"London British Library, Ms. Old Royal 16",c13 ,urn:cts:greekLit:tlg.0090.tlg001.msc13-grc,urn:cite:agathemerus:tlg0090.tlg001.msc13,,royal16_gr.xml,http://139.18.40.155/items/show/164
Parisinus Suppl. Gr. 292 ,e3,urn:cts:greekLit:tlg.0090.tlg001.bullialdus,urn:cite:agathemerus:tlg0090.tlg001.bullialdus,,bullialdus_gr.xml,http://139.18.40.155/items/show/169
Ambros. C 263 inf.,c7,urn:cts:greekLit:tlg.0090.tlg001.msc7,urn:cite:agathemerus:tlg0090.tlg001.msc7,,ambros_C263_gr.xml,http://139.18.40.155/items/show/158
"Vienna, Hist. Gr. 122 ",c4,,urn:cite:agathemerus:tlg0090.tlg001.msc4,,,http://139.18.40.155/items/show/157
"Milan, Ambros. N 46 Sup.",c6,,urn:cite:agathemerus:tlg0090.tlg001.msc6,,,http://139.18.40.155/items/show/160
"Cambridge, Trinity Library O.5.15 ",/,,urn:cite:agathemerus:tlg0090.tlg001.msgale,,,http://139.18.40.155/items/show/159
"Madrid, Escorial Ω I 11",c10,,urn:cite:agathemerus:tlg0090.tlg001.msc10,,,http://139.18.40.155/items/show/171
"Madrid, Biblioteca Nacional 4759 ",c14,,urn:cite:agathemerus:tlg0090.tlg001.msc14,,,http://139.18.40.155/items/show/172
"Torino, Biblioteca Nazionale, b.VI.25 (lost)",c15,,urn:cite:agathemerus:tlg0090.tlg001.msc15,,,http://139.18.40.155/items/show/173
"Oxford, Bodleian Lib., Ms. D’Orville 1 (Sum. Cat. 16879)",c11,,urn:cite:agathemerus:tlg0090.tlg001.msc11,,,http://139.18.40.155/items/show/162
"Amsterdam, University Library IV H 16",/,,urn:cite:agathemerus:tlg0090.tlg001.msamst16,,,http://139.18.40.155/items/show/166
"Oxford, Bodleian Lib., Ms. D’Orville 131 (Sum. Cat. 17009)",/,,urn:cite:agathemerus:tlg0090.tlg001.msorv131,,,http://139.18.40.155/items/show/189
,,,,,,
Direct tradition: Print and manuscript Editions,Siglum/name,Transcription URN,Manuscript CITE URN,Edition URN (Perseus Catalog),,
Leiden UV Vossianus Graecus In-Oct. 7,vossius,urn:cts:greekLit:tlg.0090.tlg001.vossius-grc,urn:cite:agathemerus:tlg0090.tlg001.vossius,,vossius_gr.xml,http://139.18.40.155/items/show/165
Parisinus Supplement Grec 1344,miller,urn:cts:greekLit:tlg.0090.tlg001.miller-grc,urn:cite:agathemerus:tlg.0090.tlg001.miller,,miller_gr.xml,http://139.18.40.155/items/show/174
Parisinus Supplement Grec 292,e3,urn:cts:greekLit:tlg.0090.tlg001.bullialdus,urn:cite:agathemerus:tlg.0090.tlg001.bullialdus,,bullialdus_gr.xml,http://139.18.40.155/items/show/169
"Carte Allacci, XCVII 4",holstenius,urn:cts:greekLit:tlg.0090.tlg001.holstenius-grc,urn:cite:agathemerus:tlg0090.tlg001.holstenius,urn:cts:greekLit:tlg0090.tlg001.opp-grc8,holstenius_gr.xml,http://139.18.40.155/items/show/168
Göttingen Phil. gr. 75,wendelin,urn:cts:greekLit:tlg.0090.tlg001.wendelin-grc,urn:cite:agathemerus:tlg.0090.tlg001.wendelin,urn:cts:greekLit:tlg0090.tlg001.opp-grc4,wendelin_gr.xml,http://139.18.40.155/items/show/91
"Tennulius, Amsterdam 1671",tennulius,urn:cts:greekLit:tlg.0090.tlg001.tennulius-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc4,tennulius_gr.xml,http://139.18.40.155/items/show/175
"Hudson, 1703",hudson,urn:cts:greekLit:tlg.0090.tlg001.hudson-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc3,hudson_gr.xml,http://139.18.40.155/items/show/177
"Gronovius, 1697",gronovius,urn:cts:greekLit:tlg.0090.tlg001.gronovius-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc5,gronovius_gr.xml,http://139.18.40.155/items/show/176
"Alexandrides, 1807",alexandrides,urn:cts:greekLit:tlg.0090.tlg001.alexandrides-grc,,,alexandrides_gr.xml,http://139.18.40.155/items/show/178
"Hoffmann, 1842",hoffmann,urn:cts:greekLit:tlg.0090.tlg001.hoffmann-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc7,hoffmann_gr.xml,http://139.18.40.155/items/show/179
"Müller, 1861",müller,urn:cts:greekLit:tlg.0090.tlg001.müller-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc1,mueller_gr.xml,http://139.18.40.155/items/show/180
"Diller, 1975 ",diller,urn:cts:greekLit:tlg.0090.tlg001.diller-grc,,urn:cts:greekLit:tlg0090.tlg001.opp-grc6,diller_gr.xml,http://139.18.40.155/items/show/190
,,,,,,
Direct tradition: translations,,,,,,
Carte Allacci CXVI 36a,allacci,urn:cts:greekLit:tlg.0090.tlg001.allacci-lat1,urn:cite:agathemerus:tlg0090.tlg001.allacci,urn:cts:greekLit:tlg0090.tlg001.opp-lat2,allacci36a_lat.xml,http://139.18.40.155/items/show/167
Carte Allacci CXVI 36b,allacci,urn:cts:greekLit:tlg.0090.tlg001.allacci-lat2,urn:cite:agathemerus:tlg0090.tlg001.allacci,urn:cts:greekLit:tlg0090.tlg001.opp-lat3,allacci36b_lat.xml,http://139.18.40.155/items/show/167
Carte Allacci CXVI 36c,allacci,urn:cts:greekLit:tlg.0090.tlg001.allacci-lat3,urn:cite:agathemerus:tlg0090.tlg001.allacci,urn:cts:greekLit:tlg0090.tlg001.opp-lat6,allacci36c_lat.xml,http://139.18.40.155/items/show/167
"London British Library, Ms. Old Royal 16",c13,urn:cts:greekLit:tlg.0090.tlg001.msc13-lat,urn:cite:agathemerus:tlg0090.tlg001.msc13,,royal16_lat.xml,http://139.18.40.155/items/show/164
"Carte Allacci, XCVII 4",holstenius,urn:cts:greekLit:tlg.0090.tlg001.holstenius-lat,urn:cite:agathemerus:tlg0090.tlg001.holstenius,urn:cts:greekLit:tlg0090.tlg001.opp-lat8,holstenius_lat.xml,http://139.18.40.155/items/show/168
Leiden UV Vossianus Graecus In-Oct. 7,vossius,urn:cts:greekLit:tlg.0090.tlg001.vossius-lat,urn:cite:agathemerus:tlg0090.tlg001.vossius,,vossius_lat.xml,http://139.18.40.155/items/show/165
Parisinus Supplement Grec 1344,miller,urn:cts:greekLit:tlg.0090.tlg001.miller-lat,urn:cite:agathemerus:tlg.0090.tlg001.miller,,miller_lat.xml,http://139.18.40.155/items/show/174
Göttingen Phil. gr. 75,wendelin,urn:cts:greekLit:tlg.0090.tlg001.wendelin-lat,urn:cite:agathemerus:tlg.0090.tlg001.wendelin,pending on the catalog,wendelin_lat.xml,http://139.18.40.155/items/show/91
"Tennulius, Amsterdam 1671",tennulius,urn:cts:greekLit:tlg.0090.tlg001.tennulius-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat4,tennulius_lat.xml,http://139.18.40.155/items/show/175
"Hudson, 1703",hudson,urn:cts:greekLit:tlg.0090.tlg001.hudson-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat10,hudson_lat.xml,http://139.18.40.155/items/show/177
"Gronovius, 1697",gronovius,urn:cts:greekLit:tlg.0090.tlg001.gronovius-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat5,gronovius_lat.xml,http://139.18.40.155/items/show/176
"Hoffmann, 1842",hoffmann,urn:cts:greekLit:tlg.0090.tlg001.hoffmann-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat5,hoffmann_lat.xml,http://139.18.40.155/items/show/179
"Müller, 1861",müller,urn:cts:greekLit:tlg.0090.tlg001.müller-lat,,urn:cts:greekLit:tlg0090.tlg001.opp-lat1,mueller_lat.xml,http://139.18.40.155/items/show/180
"Diller, 1975 ",diller,urn:cts:greekLit:tlg.0090.tlg001.diller-eng,,urn:cts:greekLit:tlg0090.tlg001.opp-eng1,diller_eng.xml,http://139.18.40.155/items/show/190
,,,,,,
,,,,,,
Indirect tradition: Excerpta collection,Context (source text),Origin (original text),CITE: manuscript as object,CTS: transcription,Notes,
urn:cite:excerpta:J,urn:cts:greekLit:tlg2934.tlg004.kotter ,urn:cts:greekLit:tlg0090.tlg001 ,,,"(John Damascene, Fidei Expositio - Kotter ed. 1973)",
urn:cite:excerpta:J:a,urn:cts:greekLit:tlg2934.tlg004.kotter:22b@ἄνεμοι[1]-22b@ὀνομαζόμενος[1],urn:cts:greekLit:tlg0090.tlg001:2.6-2.7@περιοίκων[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:b,urn:cts:greekLit:tlg2934.tlg004.kotter:24b@ἔθνη[1]-24b@Σάκες[1],urn:cts:greekLit:tlg0090.tlg001:2.7@ἔθνη[1]-2.7@Σάκας[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:b,urn:cts:greekLit:tlg2934.tlg004.kotter:24b@ἔθνη[1]-24b@Σάκες[1],urn:cts:greekLit:tlg0090.tlg001:2.7@ἔθνη[1]-2.7@Σάκας[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis490,urn:cts:greekLit:tlg2934.tlg004.monacensis490,"De Fide orthodoxa, fragment chap. 24b: within an astronomical Miscellany, including Pletho",http://139.18.40.155/items/show/188
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],/,/,All mss. of John Damascene,
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis287,urn:cts:greekLit:tlg2934.tlg004.monacensis287,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/181
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.holkham110,urn:cts:greekLit:tlg2934.tlg004.holkham110,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/182
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.tuebingen03,urn:cts:greekLit:tlg2934.tlg004.tuebingen03,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/183
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.basle04,urn:cts:greekLit:tlg2934.tlg004.basle04,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/184
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.marcianus406,urn:cts:greekLit:tlg2934.tlg004.marcianus406,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/185
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.parisinus1739,urn:cts:greekLit:tlg2934.tlg004.parisinus1739,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/186
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.parisinus2847,urn:cts:greekLit:tlg2934.tlg004.parisinus2847,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/187
urn:cite:excerpta:J:c,urn:cts:greekLit:tlg2934.tlg004.kotter:23b,urn:cts:greekLit:tlg0090.tlg001:3.9-3.10@͵θοβ[1],urn:cite:agathemerus:tlg0090.tlg001.monacensis490,urn:cts:greekLit:tlg2934.tlg004.monacensis490,"De Fide Orthodoxa fragments, chap. 23b: in astronomical miscellanies or Pletho's miscellanies",http://139.18.40.155/items/show/188
,,,,,,
urn:cite:excerpta:K,urn:cts:greekLit:tlg5019.tlg001; urn:cts:greekLit:tlg4098.tlg003; urn:cts:greekLit:tlg4174.tlg002; urn:cts:greekLit:tlg4098.tlg002; urn:cts:greekLit:tlg4099.tlg001; urn:cts:greekLit:tlg4083.tlg006; urn:cts:greekLit:tlg4083.tlg001,urn:cts:greekLit:tlg0090.tlg001 ,,,,
urn:cite:excerpta:K:a.1,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,(Dionysius Scholia in Periegesin: selected mss. of the Appendix and Müller's edition),
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Ἀσία[1]-append@ἰοῦσι[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,,
,urn:cts:greekLit:tlg4098.tlg003:epsilon.564.6@Ἀσία[1]-epsilon.564.6@ἰοῦσιν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Ἀσία[1]-1.4@ἀπιοῦσι[1],,,Etymologicum Gudianum,
urn:cite:excerpta:K:a.2 ,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Εὐρώπη[1]-append@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg5019.tlg001:10bis@εἴρηται[1]-10bis@πλάτος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg4098.tlg003:epsilon.564.7@Εὐρώπη[1]-epsilon.564.7@ὠνομάσθη[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,,
,urn:cts:greekLit:tlg4174.tlg002:19@Εὐρώπη[1]-19@εὖρος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἡ[1]-1.4@ὠνομάσθη[1],,,Paraphrases in Periegesin - Ludwich ed. ,
urn:cite:excerpta:K:a.3 ,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Λιβύη[1]-append@ἄγνωστος[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:lambda.369.40@Λιβύη[2]-lambda.369.41@ἄγνωστα[1],urn:cts:greekLit:tlg0090.tlg001:1.4@Λιβύη[1]-1.4@πάνυ[1],,,,
urn:cite:excerpta:K:a.4,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Φοίνικες[1]-append@ὀνομασθέντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:phi.555.54@Φοίνικες[1]-phi.555.55@οντες[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ἀπό[3]-1.4@πλέοντες[1],,,,
urn:cite:excerpta:K:a.5,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@Πόθεν[1]-append@γῆν[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg4098.tlg002:omega.577.47@Ὠκεανός[1]-omega.577.48@κύκλῳ[1],urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,,
,urn:cts:greekLit:tlg4099.tlg001:821.19-821.20,urn:cts:greekLit:tlg0090.tlg001:1.4@ὠκεανός[1]-1.4@γῆν[1],,,Etymologicum Magnum,
urn:cite:excerpta:K:c.1,urn:cts:greekLit:tlg5019.tlg001.ambrosianus222:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.parisinus1310:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus331:append@τίνες[1]-append@σφενδονοειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
,urn:cts:greekLit:tlg5019.tlg001.palatinus96:vita@τίνες[1]-vita@οὐροειδῆ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ἀναξίμανδρος[1]-1.2@Ἰνδικήν[1],,,,
urn:cite:excerpta:K:c.2,urn:cts:greekLit:tlg4083.tlg006:epist.232@Ἦ[1]-epist.240,urn:cts:greekLit:tlg0090.tlg001:1.1,,,"(Eustathius Thessalonicensis, Comm. In Periegesin)",
urn:cite:excerpta:K:c.3,urn:cts:greekLit:tlg4083.tlg006:1.35@Τοιαύτη[1]-1.36@δοκεῖ[1],urn:cts:greekLit:tlg0090.tlg001:1.1@Ποσειδώνιος[1]-1.1@Ἰνδικήν[1],,,,
urn:cite:excerpta:K:c.4,urn:cts:greekLit:tlg4083:tlg001:2.496.16@καί[1]-2.496.17,urn:cts:greekLit:tlg0090.tlg001:1.2,,,"(Eustathius Thessalonicensis, Comm. In Iliadem)",